"";"Join_Count";"TARGET_FID";"HOJA";"CUAD";"HUSO";"ZONA";"CUADUTM";"ORIG_FID";"fid_";"Lon";"Lat";"coords.x1";"coords.x2"
"1";"1";"0";"0201";"C04";"29";"T";"0201C04";"0";"139";-7,5;45;91921,7492000004;4857077,3789
"2";"1";"1";"0201";"C05";"29";"T";"0201C05";"1";"139";-7,5;45;101914,6361;4856351,6302
"3";"1";"2";"0201";"C06";"29";"T";"0201C06";"2";"139";-7,5;45;111906,3825;4855625,9998
"4";"1";"3";"0201";"C07";"29";"T";"0201C07";"3";"116";-7,5;42,5;121896,9078;4854900,4992
"5";"1";"4";"0201";"C08";"29";"T";"0201C08";"4";"116";-7,5;42,5;131886,2104;4854175,1302
"6";"1";"5";"0201";"C09";"29";"T";"0201C09";"5";"116";-7,5;42,5;141874,4157;4853449,9992
"7";"1";"6";"0201";"D04";"29";"T";"0201D04";"6";"116";-7,5;42,5;91196,5388000002;4847083,7498
"8";"1";"7";"0201";"D05";"29";"T";"0201D05";"7";"116";-7,5;42,5;101189,5836;4846359,2491
"9";"1";"8";"0201";"D06";"29";"T";"0201D06";"8";"116";-7,5;42,5;111181,4449;4845634,7485
"10";"1";"9";"0201";"D07";"29";"T";"0201D07";"9";"116";-7,5;42,5;121172,0854;4844910,3801
"11";"1";"10";"0201";"D08";"29";"T";"0201D08";"10";"116";-7,5;42,5;131161,6266;4844186,2491
"12";"1";"11";"0201";"D09";"29";"T";"0201D09";"11";"116";-7,5;42,5;141149,902;4843462,3814
"13";"1";"12";"0201";"D10";"29";"T";"0201D10";"12";"116";-7,5;42,5;151137,076;4842738,5004
"14";"1";"13";"0201";"E02";"29";"T";"0201E02";"13";"116";-7,5;42,5;70482,5073999995;4838537,2485
"15";"1";"14";"0201";"E03";"29";"T";"0201E03";"14";"116";-7,5;42,5;80478,0796999997;4837813,4991
"16";"1";"15";"0201";"E04";"29";"T";"0201E04";"15";"116";-7,5;42,5;90472,4682999998;4837089,9985
"17";"1";"16";"0201";"E05";"29";"T";"0201E05";"16";"116";-7,5;42,5;100465,6283;4836366,6301
"18";"1";"17";"0301";"D08";"29";"T";"0301D08";"17";"117";-5;42,5;240968,0191;4836230,6314
"19";"1";"18";"0201";"E06";"29";"T";"0201E06";"18";"116";-7,5;42,5;110457,6497;4835643,3795
"20";"1";"19";"0201";"E07";"29";"T";"0201E07";"19";"116";-7,5;42,5;120448,531;4834920,2498
"21";"1";"20";"0301";"D09";"29";"T";"0301D09";"20";"117";-5;42,5;251957,9304;4835409,7536
"22";"1";"21";"0301";"D10";"30";"T";"0301D10";"21";"117";-5;42,5;263983,2815;4834975,8278
"23";"1";"22";"0401";"D01";"30";"T";"0401D01";"22";"117";-5;42,5;275000;4835000
"24";"1";"23";"0201";"E08";"29";"T";"0201E08";"23";"116";-7,5;42,5;130438,1833;4834197,2498
"25";"1";"24";"0201";"E09";"29";"T";"0201E09";"24";"116";-7,5;42,5;140426,6463;4833474,5004
"26";"1";"25";"0201";"E10";"29";"T";"0201E10";"25";"116";-7,5;42,5;150413,8822;4832751,8801
"27";"1";"26";"0201";"E11";"29";"T";"0201E11";"26";"116";-7,5;42,5;160399,9801;4832029,3814
"28";"1";"27";"0301";"E01";"29";"T";"0301E01";"27";"116";-7,5;42,5;170384,9803;4831307,1181
"29";"1";"28";"0301";"E02";"29";"T";"0301E02";"28";"116";-7,5;42,5;180368,6285;4830584,8814
"30";"1";"29";"0301";"E03";"29";"T";"0301E03";"29";"116";-7,5;42,5;190351,2088;4829862,7504
"31";"1";"30";"0301";"E04";"29";"T";"0301E04";"30";"116";-7,5;42,5;200332,527;4829140,8814
"32";"1";"31";"0201";"F02";"29";"T";"0201F02";"31";"116";-7,5;42,5;69759,2581000002;4828541,1291
"33";"1";"32";"0301";"E05";"29";"T";"0301E05";"32";"116";-7,5;42,5;210312,7479;4828419,2504
"34";"1";"33";"0201";"F03";"29";"T";"0201F03";"33";"116";-7,5;42,5;79755,0328000002;4827818,4991
"35";"1";"34";"0301";"E06";"29";"T";"0301E06";"34";"116";-7,5;42,5;220291,6988;4827697,6314
"36";"1";"35";"0201";"F04";"29";"T";"0201F04";"35";"116";-7,5;42,5;89749,5403000005;4827096,1294
"37";"1";"36";"0301";"E07";"29";"T";"0301E07";"36";"116";-7,5;42,5;230269,5488;4826976,0017
"38";"1";"37";"0201";"F05";"29";"T";"0201F05";"37";"116";-7,5;42,5;99742,943;4826373,9991
"39";"1";"38";"0301";"E08";"29";"T";"0301E08";"38";"117";-5;42,5;240246,1738;4826254,7517
"40";"1";"39";"0201";"F06";"29";"T";"0201F06";"39";"116";-7,5;42,5;109735,1208;4825651,9997
"41";"1";"40";"0201";"F07";"29";"T";"0201F07";"40";"116";-7,5;42,5;119726,1149;4824929,9991
"42";"1";"41";"0401";"E01";"30";"T";"0401E01";"41";"117";-5;42,5;275000;4825000
"43";"1";"42";"0401";"E02";"30";"T";"0401E02";"42";"117";-5;42,5;285000;4825000
"44";"1";"43";"0401";"E03";"30";"T";"0401E03";"43";"117";-5;42,5;295000;4825000
"45";"1";"44";"0401";"E04";"30";"T";"0401E04";"44";"117";-5;42,5;305000;4825000
